Claim_ID,Claimant_Type,Damage_Category,Status,Requested_Amount,Approved_Amount,Assigned_Counsel,Filing_Date,Resolution_Date
CLM-10333,Business,Structural Damage,Disbursed,465906.87,342348.96,Chen Defenders,2024-09-30,2025-06-17
CLM-10334,Business,Business Interruption,Disbursed,1151112.9,1127438.35,Patel Law Group,2023-05-15,2025-11-28
CLM-10335,Individual,Relocation Expenses,Under Review,29304.79,,Smith & Associates,2023-12-25,
CLM-10336,Business,Business Interruption,Disbursed,1357104.22,1197175.24,Patel Law Group,2025-04-15,2025-08-27
CLM-10337,Individual,Lost Agricultural Income,Under Review,130899.34,,Chen Defenders,2023-12-19,
CLM-10338,Individual,Relocation Expenses,Under Review,148070.48,,Rivera & Co,2023-08-31,
CLM-10339,Individual,Relocation Expenses,Under Review,10704.81,,Chen Defenders,2023-03-23,
CLM-10340,Individual,Property Damage,Under Review,17840.56,,Gomez Legal,2024-03-30,
CLM-10341,Individual,Relocation Expenses,Approved,62619.95,54754.08,Chen Defenders,2024-01-08,2024-08-19
CLM-10342,Individual,Property Damage,Rejected,97672.39,0.0,Rivera & Co,2025-04-10,2025-06-30
CLM-10343,Individual,Lost Agricultural Income,Approved,80650.86,65560.92,Smith & Associates,2025-04-26,2026-01-20
CLM-10344,Individual,Relocation Expenses,Disbursed,49649.84,33798.7,Smith & Associates,2023-05-24,2024-10-01
CLM-10345,Individual,Relocation Expenses,Disbursed,32310.62,21404.67,Gomez Legal,2023-05-29,2024-01-09
CLM-10346,Individual,Lost Agricultural Income,Disbursed,30686.72,28699.64,Gomez Legal,2023-01-25,2023-12-05
CLM-10347,Business,Structural Damage,Under Review,92914.18,,Gomez Legal,2025-02-22,
CLM-10348,Business,Property Damage,Under Review,1447993.88,,Smith & Associates,2023-01-10,
CLM-10349,Business,Structural Damage,Disbursed,2300760.6,2246347.94,Chen Defenders,2023-10-09,2024-04-17
CLM-10350,Business,Business Interruption,Approved,1464103.83,971747.64,Smith & Associates,2025-04-14,2025-08-25
CLM-10351,Individual,Lost Agricultural Income,Approved,146690.26,139106.58,Rivera & Co,2025-10-30,2025-12-12
CLM-10352,Business,Business Interruption,Under Review,757279.71,,Smith & Associates,2025-04-19,
CLM-10353,Individual,Relocation Expenses,Disbursed,52419.81,48390.74,Gomez Legal,2023-03-12,2023-11-20
CLM-10354,Business,Business Interruption,Rejected,827129.51,0.0,Chen Defenders,2024-08-10,2025-06-02
CLM-10355,Individual,Relocation Expenses,Under Review,83950.92,,Patel Law Group,2024-01-06,
CLM-10356,Individual,Relocation Expenses,Disbursed,62445.04,47172.43,Patel Law Group,2025-07-19,2026-02-13
CLM-10357,Individual,Property Damage,Approved,84124.6,50968.3,Chen Defenders,2023-11-22,2025-02-24
CLM-10358,Individual,Relocation Expenses,Disbursed,98173.52,78556.3,Chen Defenders,2023-03-19,2023-07-22
CLM-10359,Individual,Relocation Expenses,Under Review,74481.37,,Patel Law Group,2025-01-20,
CLM-10360,Individual,Property Damage,Disbursed,62829.3,51107.93,Chen Defenders,2025-10-10,2025-10-30
CLM-10361,Individual,Lost Agricultural Income,Disbursed,122882.93,120696.78,Smith & Associates,2023-05-02,2023-05-20
CLM-10362,Individual,Lost Agricultural Income,Rejected,67475.0,0.0,Patel Law Group,2023-03-22,2025-06-15
CLM-10363,Individual,Lost Agricultural Income,Rejected,40304.93,0.0,Patel Law Group,2023-05-09,2025-05-17
CLM-10364,Individual,Property Damage,Under Review,74481.57,,Rivera & Co,2025-01-14,
CLM-10365,Individual,Property Damage,Approved,46306.57,42658.09,Patel Law Group,2024-04-05,2024-06-21
CLM-10366,Individual,Relocation Expenses,Disbursed,93498.4,66295.0,Gomez Legal,2023-02-12,2026-01-05
CLM-10367,Individual,Property Damage,Under Review,80759.75,,Gomez Legal,2023-07-07,
CLM-10368,Business,Property Damage,Disbursed,1336650.29,859133.0,Gomez Legal,2023-08-09,2025-03-17
CLM-10369,Individual,Relocation Expenses,Approved,138074.11,87651.6,Rivera & Co,2023-10-07,2025-06-20
CLM-10370,Business,Business Interruption,Rejected,1601220.87,0.0,Chen Defenders,2025-07-04,2025-07-28
CLM-10371,Individual,Relocation Expenses,Disbursed,79700.4,73124.92,Gomez Legal,2023-11-08,2023-11-09
CLM-10372,Individual,Relocation Expenses,Rejected,57312.02,0.0,Gomez Legal,2024-12-07,2025-08-16
CLM-10373,Business,Business Interruption,Disbursed,630332.87,447487.43,Chen Defenders,2023-12-19,2024-06-15
CLM-10374,Business,Property Damage,Under Review,1685497.25,,Chen Defenders,2025-02-19,
CLM-10375,Individual,Property Damage,Under Review,66472.0,,Rivera & Co,2024-11-08,
CLM-10376,Individual,Relocation Expenses,Disbursed,73569.34,49392.86,Gomez Legal,2025-08-04,2025-12-09
CLM-10377,Individual,Lost Agricultural Income,Disbursed,93028.64,64448.27,Patel Law Group,2024-11-23,2025-11-04
CLM-10378,Individual,Property Damage,Under Review,13475.92,,Smith & Associates,2025-10-09,
CLM-10379,Individual,Lost Agricultural Income,Approved,105795.96,81598.29,Smith & Associates,2023-09-11,2025-11-07
CLM-10380,Business,Business Interruption,Approved,88761.67,82324.92,Patel Law Group,2023-11-28,2024-10-13
CLM-10381,Individual,Relocation Expenses,Under Review,88866.1,,Patel Law Group,2023-12-20,
CLM-10382,Individual,Property Damage,Under Review,134657.68,,Gomez Legal,2025-02-03,
CLM-10383,Individual,Lost Agricultural Income,Disbursed,54816.27,42590.27,Chen Defenders,2023-01-07,2023-03-08
CLM-10384,Business,Business Interruption,Disbursed,221332.43,156804.95,Chen Defenders,2023-08-04,2024-06-04
CLM-10385,Individual,Lost Agricultural Income,Approved,82278.88,60326.94,Gomez Legal,2025-11-21,2026-02-09
CLM-10386,Individual,Lost Agricultural Income,Approved,59879.08,59770.83,Smith & Associates,2023-11-18,2023-12-06
CLM-10387,Individual,Relocation Expenses,Rejected,86533.04,0.0,Gomez Legal,2023-02-10,2023-10-01
CLM-10388,Individual,Lost Agricultural Income,Under Review,114451.48,,Patel Law Group,2023-05-21,
CLM-10389,Individual,Relocation Expenses,Disbursed,70303.79,51956.51,Chen Defenders,2025-05-24,2025-09-18
CLM-10390,Individual,Lost Agricultural Income,Under Review,139440.78,,Rivera & Co,2025-05-31,
CLM-10391,Individual,Relocation Expenses,Rejected,148910.11,0.0,Patel Law Group,2024-11-26,2025-02-24
CLM-10392,Individual,Property Damage,Under Review,102375.97,,Rivera & Co,2024-07-05,
CLM-10393,Individual,Lost Agricultural Income,Disbursed,130379.5,104660.24,Patel Law Group,2023-07-05,2025-06-16
CLM-10394,Individual,Property Damage,Approved,10243.26,7224.01,Chen Defenders,2025-09-01,2025-12-11
CLM-10395,Individual,Property Damage,Under Review,55216.66,,Smith & Associates,2023-11-14,
CLM-10396,Individual,Lost Agricultural Income,Approved,62562.32,52567.22,Gomez Legal,2025-11-20,2026-01-22
CLM-10397,Individual,Lost Agricultural Income,Disbursed,119010.01,98377.26,Smith & Associates,2025-12-25,2026-02-07
CLM-10398,Individual,Lost Agricultural Income,Disbursed,62590.92,53276.14,Smith & Associates,2025-08-15,2025-11-28
CLM-10399,Individual,Relocation Expenses,Disbursed,130868.22,119876.88,Gomez Legal,2024-02-17,2024-11-11
CLM-10400,Individual,Property Damage,Under Review,51766.56,,Gomez Legal,2025-10-22,
CLM-10401,Individual,Lost Agricultural Income,Rejected,55184.46,0.0,Gomez Legal,2024-07-10,2025-05-25
CLM-10402,Individual,Property Damage,Approved,88398.69,64132.46,Gomez Legal,2025-03-31,2026-01-18
CLM-10403,Individual,Property Damage,Disbursed,92906.68,62241.48,Rivera & Co,2025-04-26,2026-01-24
CLM-10404,Individual,Property Damage,Disbursed,124654.11,80863.72,Patel Law Group,2023-11-15,2024-07-10
CLM-10405,Individual,Property Damage,Under Review,38719.95,,Patel Law Group,2025-07-12,
CLM-10406,Business,Business Interruption,Rejected,2344300.48,0.0,Rivera & Co,2024-12-02,2025-07-22
CLM-10407,Individual,Lost Agricultural Income,Under Review,97919.82,,Smith & Associates,2024-04-26,
CLM-10408,Individual,Lost Agricultural Income,Under Review,27043.6,,Patel Law Group,2023-06-26,
CLM-10409,Business,Structural Damage,Approved,568800.61,512888.32,Smith & Associates,2025-12-08,2026-01-14
CLM-10410,Individual,Lost Agricultural Income,Under Review,147633.44,,Patel Law Group,2025-05-13,
CLM-10411,Individual,Property Damage,Under Review,118490.93,,Rivera & Co,2025-10-02,
CLM-10412,Individual,Property Damage,Rejected,78866.21,0.0,Smith & Associates,2023-07-22,2023-10-22
CLM-10413,Business,Property Damage,Under Review,590966.44,,Rivera & Co,2023-05-10,
CLM-10414,Individual,Relocation Expenses,Under Review,66782.09,,Gomez Legal,2023-09-30,
CLM-10415,Business,Structural Damage,Approved,1652485.7,1338846.97,Smith & Associates,2024-02-25,2024-05-28
CLM-10416,Individual,Lost Agricultural Income,Disbursed,111374.09,67315.89,Rivera & Co,2024-06-05,2025-11-18
CLM-10417,Individual,Lost Agricultural Income,Disbursed,65694.19,54714.02,Patel Law Group,2025-07-03,2025-11-29
CLM-10418,Individual,Lost Agricultural Income,Approved,94747.49,88467.75,Patel Law Group,2024-04-23,2024-12-12
CLM-10419,Individual,Property Damage,Rejected,121222.88,0.0,Gomez Legal,2024-02-28,2025-03-01
CLM-10420,Individual,Lost Agricultural Income,Disbursed,43548.41,34827.12,Chen Defenders,2024-01-10,2025-01-25
CLM-10421,Individual,Property Damage,Under Review,75794.96,,Gomez Legal,2023-07-28,
CLM-10422,Individual,Relocation Expenses,Approved,74022.63,56093.65,Gomez Legal,2024-10-05,2025-12-16
CLM-10423,Individual,Property Damage,Under Review,143652.22,,Patel Law Group,2024-04-28,
CLM-10424,Individual,Property Damage,Disbursed,141710.52,89357.94,Patel Law Group,2024-11-26,2026-01-12
CLM-10425,Individual,Relocation Expenses,Rejected,10571.82,0.0,Patel Law Group,2025-04-02,2025-10-02
CLM-10426,Individual,Lost Agricultural Income,Approved,76840.56,59939.46,Patel Law Group,2023-10-25,2024-10-28
CLM-10427,Individual,Property Damage,Disbursed,14664.55,9679.59,Patel Law Group,2024-10-10,2024-11-01
CLM-10428,Business,Business Interruption,Under Review,1136019.06,,Gomez Legal,2024-08-20,
CLM-10429,Individual,Lost Agricultural Income,Under Review,108866.89,,Gomez Legal,2024-07-16,
CLM-10430,Individual,Property Damage,Disbursed,143692.7,106519.48,Rivera & Co,2025-08-29,2025-10-10
CLM-10431,Individual,Lost Agricultural Income,Rejected,145758.74,0.0,Gomez Legal,2024-07-06,2024-10-23
CLM-10432,Business,Property Damage,Under Review,476567.87,,Patel Law Group,2023-01-23,
CLM-10433,Individual,Relocation Expenses,Under Review,8037.02,,Smith & Associates,2023-07-19,
CLM-10434,Municipality,Structural Damage,Disbursed,3659003.0,3109660.15,Smith & Associates,2025-05-06,2025-07-12
CLM-10435,Individual,Relocation Expenses,Under Review,6512.02,,Chen Defenders,2024-11-10,
CLM-10436,Individual,Property Damage,Disbursed,98366.12,60670.3,Patel Law Group,2024-06-10,2024-12-05
CLM-10437,Municipality,Structural Damage,Under Review,8188427.72,,Chen Defenders,2023-08-30,
CLM-10438,Municipality,Structural Damage,Disbursed,6416934.31,5770295.17,Chen Defenders,2023-04-26,2025-03-17
CLM-10439,Business,Structural Damage,Approved,363834.58,353368.32,Smith & Associates,2023-10-14,2025-08-01
CLM-10440,Individual,Property Damage,Disbursed,59518.97,44964.27,Gomez Legal,2023-09-15,2025-04-03
CLM-10441,Individual,Relocation Expenses,Disbursed,139606.04,111464.13,Patel Law Group,2023-05-02,2024-04-14
CLM-10442,Individual,Property Damage,Disbursed,46456.48,43880.38,Gomez Legal,2023-12-25,2024-11-17
CLM-10443,Business,Business Interruption,Disbursed,1382840.62,951982.54,Chen Defenders,2024-10-11,2025-02-08
CLM-10444,Municipality,Structural Damage,Disbursed,7733727.15,5198904.03,Rivera & Co,2024-12-30,2025-03-08
CLM-10445,Individual,Relocation Expenses,Under Review,114212.16,,Chen Defenders,2025-07-03,
CLM-10446,Individual,Property Damage,Under Review,28898.15,,Smith & Associates,2025-08-15,
CLM-10447,Business,Property Damage,Approved,2414567.87,1594267.8,Smith & Associates,2025-05-25,2025-10-17
CLM-10448,Individual,Relocation Expenses,Disbursed,83624.39,67179.17,Chen Defenders,2023-07-19,2025-08-13
CLM-10449,Individual,Lost Agricultural Income,Under Review,26977.56,,Gomez Legal,2025-01-21,
CLM-10450,Individual,Property Damage,Under Review,115362.62,,Rivera & Co,2024-06-19,
CLM-10451,Individual,Property Damage,Rejected,112548.25,0.0,Patel Law Group,2025-05-15,2025-06-25
CLM-10452,Individual,Lost Agricultural Income,Disbursed,63216.68,43089.39,Gomez Legal,2024-11-15,2025-05-21
CLM-10453,Individual,Relocation Expenses,Under Review,94317.89,,Gomez Legal,2024-02-03,
CLM-10454,Individual,Property Damage,Disbursed,83110.87,78059.32,Smith & Associates,2025-11-26,2026-01-02
CLM-10455,Business,Business Interruption,Disbursed,77027.45,69592.03,Smith & Associates,2024-02-17,2025-02-08
CLM-10456,Individual,Lost Agricultural Income,Approved,127085.7,101772.78,Rivera & Co,2025-03-25,2025-05-06
CLM-10457,Individual,Lost Agricultural Income,Disbursed,70048.54,66859.81,Rivera & Co,2024-05-15,2025-01-11
CLM-10458,Individual,Property Damage,Under Review,101141.09,,Chen Defenders,2025-10-02,
CLM-10459,Individual,Relocation Expenses,Approved,94840.45,87033.08,Smith & Associates,2023-10-04,2024-03-06
CLM-10460,Individual,Lost Agricultural Income,Disbursed,131768.06,117189.49,Smith & Associates,2024-07-30,2025-09-03
CLM-10461,Individual,Relocation Expenses,Disbursed,86415.27,72709.38,Chen Defenders,2024-11-21,2025-09-05
CLM-10462,Individual,Relocation Expenses,Under Review,92311.12,,Patel Law Group,2024-03-09,
CLM-10463,Individual,Lost Agricultural Income,Under Review,16173.45,,Smith & Associates,2025-05-09,
CLM-10464,Individual,Relocation Expenses,Under Review,147385.53,,Rivera & Co,2023-08-08,
CLM-10465,Business,Property Damage,Under Review,1128487.54,,Patel Law Group,2025-02-12,
CLM-10466,Individual,Lost Agricultural Income,Approved,39199.35,24500.26,Rivera & Co,2023-06-23,2025-07-01
CLM-10467,Business,Property Damage,Rejected,2495951.4,0.0,Smith & Associates,2025-03-21,2025-05-06
CLM-10468,Individual,Property Damage,Approved,97445.22,65415.07,Chen Defenders,2023-10-11,2024-02-10
CLM-10469,Individual,Lost Agricultural Income,Approved,126771.33,105061.6,Gomez Legal,2025-10-17,2026-01-01
CLM-10470,Individual,Property Damage,Rejected,87004.74,0.0,Gomez Legal,2023-08-23,2024-11-02
CLM-10471,Individual,Lost Agricultural Income,Disbursed,8507.81,6033.98,Rivera & Co,2023-05-11,2025-12-28
CLM-10472,Individual,Property Damage,Under Review,118474.38,,Chen Defenders,2024-10-26,
CLM-10473,Business,Structural Damage,Disbursed,2188189.11,1475803.5,Patel Law Group,2024-08-16,2025-06-11
CLM-10474,Business,Structural Damage,Disbursed,2346515.57,2000330.04,Chen Defenders,2024-08-07,2025-08-06
CLM-10475,Individual,Lost Agricultural Income,Approved,76986.87,68657.14,Smith & Associates,2024-05-11,2025-08-24
CLM-10476,Business,Structural Damage,Under Review,601798.07,,Chen Defenders,2024-11-20,
CLM-10477,Individual,Property Damage,Under Review,143709.12,,Patel Law Group,2023-01-06,
CLM-10478,Individual,Relocation Expenses,Under Review,10261.71,,Gomez Legal,2025-02-02,
CLM-10479,Individual,Relocation Expenses,Under Review,41184.2,,Chen Defenders,2023-12-24,
CLM-10480,Business,Structural Damage,Under Review,2119734.12,,Chen Defenders,2025-03-28,
CLM-10481,Individual,Lost Agricultural Income,Rejected,14084.71,0.0,Patel Law Group,2025-04-29,2025-07-14
CLM-10482,Individual,Relocation Expenses,Approved,64608.86,62020.2,Smith & Associates,2024-05-16,2024-06-24
CLM-10483,Individual,Lost Agricultural Income,Disbursed,144692.19,141035.67,Chen Defenders,2024-11-29,2025-04-20
CLM-10484,Individual,Relocation Expenses,Rejected,110969.04,0.0,Smith & Associates,2024-08-25,2024-09-30
CLM-10485,Individual,Lost Agricultural Income,Under Review,110147.58,,Gomez Legal,2023-09-05,
CLM-10486,Individual,Lost Agricultural Income,Disbursed,145940.77,107967.35,Chen Defenders,2024-02-20,2025-07-12
CLM-10487,Individual,Relocation Expenses,Approved,109401.17,69528.39,Chen Defenders,2023-07-05,2025-12-26
CLM-10488,Individual,Property Damage,Under Review,80891.68,,Gomez Legal,2025-05-14,
CLM-10489,Business,Structural Damage,Disbursed,1379237.22,1130333.81,Rivera & Co,2023-06-23,2025-09-23
CLM-10490,Individual,Relocation Expenses,Approved,71453.59,47610.23,Patel Law Group,2023-06-17,2025-07-14
CLM-10491,Business,Business Interruption,Approved,1689104.73,1291668.89,Patel Law Group,2025-08-21,2025-11-15
CLM-10492,Individual,Relocation Expenses,Disbursed,47135.2,30391.57,Patel Law Group,2025-02-24,2026-01-21
CLM-10493,Individual,Lost Agricultural Income,Disbursed,12533.7,8529.75,Patel Law Group,2024-10-24,2025-07-05
CLM-10494,Individual,Relocation Expenses,Disbursed,52881.18,42715.0,Rivera & Co,2023-09-17,2023-12-26
CLM-10495,Individual,Property Damage,Under Review,100646.26,,Smith & Associates,2025-03-23,
CLM-10496,Individual,Property Damage,Rejected,70429.7,0.0,Gomez Legal,2023-11-16,2025-10-22
CLM-10497,Business,Property Damage,Under Review,1403658.36,,Smith & Associates,2024-03-01,
CLM-10498,Individual,Property Damage,Disbursed,61655.61,46166.06,Patel Law Group,2024-03-27,2025-11-11
CLM-10499,Individual,Lost Agricultural Income,Disbursed,60160.9,59306.05,Chen Defenders,2025-05-07,2025-10-15
CLM-10500,Individual,Relocation Expenses,Approved,18635.24,16827.49,Patel Law Group,2024-02-26,2024-11-11
